series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T37.A.Q.,T37,Trade indices - individual countries/areas,76,C,Brazil,1945,A,0,194552,01/01/1945,X,Exports,1,Total,0,World,2000,,9.67356502,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,76,C,Brazil,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,11.69332035,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,124,C,Canada,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,4.3810165,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,124,C,Canada,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,3.48637153,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,144,C,Sri Lanka,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,10.17742288,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,144,C,Sri Lanka,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,19.62267284,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,208,C,Denmark,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,33.36090585,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,208,C,Denmark,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,11.78768768,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,246,C,Finland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,2.68887104,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,246,C,Finland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,2.95539671,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,251,C,France,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,3.49470748,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,251,C,France,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,0.86252429,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,352,C,Iceland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,9.7172351,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,352,C,Iceland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,11.55195796,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,356,C,India,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,15.58385284,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,356,C,India,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,8.48922746,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,372,C,Ireland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,0.96761158,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,372,C,Ireland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,2.65432675,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,376,C,Israel,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,17.78704549,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,388,C,Jamaica,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,14.84635826,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,504,C,Morocco,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,8.70535205,,Q,Volume,A,Actual
